RRR	2022	S. S. Rajamouli	A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.	"['N. T. Rama Rao Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt', 'Shriya Saran', 'Samuthirakani', 'Ray Stevenson', 'Alison Doody', 'Olivia Morris', 'Edward Sonnenblick', 'Makrand Deshpande', 'Chatrapathi Sekhar', 'Rajiv Kanakala', 'Rahul Ramakrishna', 'Ahmareen Anjum', 'Twinkle Sharma', 'Varun Buddhadev', 'Spandan Chaturvedi', 'R. Bhakti Klein', 'Mark Bennington', 'Gaurav Pareek', ""Alexx O'Nell"", 'S. S. Rajamouli', 'Kirron Arya', 'Akash Boro', 'Eduard Buhac', 'Narendra Singh Dhami', 'Oleh Karpenko', 'Ivan Kostadinov', 'Jason Yeboa', 'Andrew Lyon']"	['DVV Entertainment', 'Pen Studios', 'Lyca Productions']	['India']	['Telugu']	['Telugu', 'English']	['action', 'drama']	['Epic heroes', 'Epic history and literature', 'Song and dance', 'bollywood, songs, climax, emotion or goosebumps', 'martial arts, kung fu, choreography, cool or action-packed', 'historical, epic, battle, historic or fought', 'swords, adventure, fantasy, battle or epic', 'action, explosives, exciting, action-packed or villain']
Bāhubali: The Beginning	2015	S. S. Rajamouli	The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.	['Prabhas', 'Rana Daggubati', 'Tamannaah Bhatia', 'Anushka Shetty', 'Ramya Krishnan', 'Nassar', 'Sathyaraj', 'Sudeep', 'Adivi Sesh', 'Tanikella Bharani', 'Prabhakar', 'Rohini', 'Rakesh Varre', 'Ramakrishna Meka', 'S. S. Rajamouli', 'Charandeep', 'Scarlett Mellish Wilson', 'Nora Fatehi', 'Gabriela Bertante', 'Bharani Shankar', 'Kalpalatha', 'John Kokken']	['Arka Media Works']	['India']	['Telugu']	['Telugu', 'Sanskrit (Saṁskṛta)']	['action', 'adventure', 'fantasy', 'drama']	['Epic history and literature', 'Epic heroes', 'historical, epic, battle, historic or fought', 'swords, adventure, fantasy, battle or epic', 'martial arts, kung fu, choreography, cool or action-packed', 'bollywood, songs, climax, emotion or goosebumps', 'shakespearean, kings, battle, breathtaking or epic']
Bāhubali 2: The Conclusion	2017	S. S. Rajamouli	When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.	['Prabhas', 'Rana Daggubati', 'Sathyaraj', 'Anushka Shetty', 'Nassar', 'Ramya Krishnan', 'Subbaraju', 'Tamannaah Bhatia', 'Prudhviraj', 'Rohini', 'Ashrita Vemuganti', 'Tanikella Bharani', 'Bharani Shankar', 'Kalpalatha']	['Arka Media Works']	['India']	[]	['Telugu']	['adventure', 'action', 'fantasy']	['Epic history and literature', 'Epic heroes', 'historical, epic, battle, historic or fought', 'bollywood, songs, climax, emotion or goosebumps', 'martial arts, kung fu, choreography, cool or action-packed', 'swords, adventure, fantasy, battle or epic', 'shakespearean, kings, battle, breathtaking or epic']
Eega	2012	S. S. Rajamouli	Nani is a flower decorator, madly in love with his neighbor Bindhu. He gets killed by the baddie, Sudeep, a powerful businessman. Nani comes back as a housefly to get his revenge.	['Sudeep', 'Samantha Ruth Prabhu', 'Nani', 'Adithya Menon', 'Thagubothu Ramesh', 'Santhanam', 'Devadarshini', 'Chatrapathi Sekhar', 'Srinivasa Reddy', 'Noel Sean', 'Sivannarayana Naripeddi', 'Rajiv Kanakala', 'Dhanraj Sukhram', 'Hamsa Nandini', 'S. S. Rajamouli', 'Crazy Mohan']	['Vaaraahi Chalana Chitram']	['India']	[]	['Telugu']	['fantasy', 'action', 'comedy']	['Song and dance', 'Epic heroes', 'Westerns', 'bollywood, songs, climax, emotion or goosebumps', 'action, villain, humor, funny or silly', 'swords, adventure, fantasy, battle or epic', 'western, cowboy, outlaw, wild or frontier', 'martial arts, kung fu, choreography, cool or action-packed']
Sita Ramam	2022	Hanu Raghavapudi	Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter.	['Dulquer Salmaan', 'Mrunal Thakur', 'Rashmika Mandanna', 'Sumanth', 'Gautham Vasudev Menon', 'Tharun Bhascker Dhaassyam', 'Vennela Kishore', 'Shatru', 'Sachin Khedekar', 'Prakash Raj', 'Ashwath Bhatt', 'Bhumika Chawla', 'Abhinaya', 'Jisshu Sengupta', 'Pawan Chopra', 'Rukmini Vijayakumar', 'Neeraj Kabi', 'Murali Sharma', 'Tinnu Anand', 'Nikhil Devadula', 'Mehroos Mir', 'Snigdha Bawa', 'Sunil Varma', 'Keshav Deepak', 'Rohini', 'Anish Kuruvilla', 'Rahul Ravindran']	['Vyjayanthi Movies', 'Swapna Cinema']	['India']	[]	['Telugu']	['drama', 'romance']	['Song and dance', 'Epic history and literature', 'bollywood, songs, climax, emotion or goosebumps', 'singing, musical, songs, tune or lyrics', 'historical, epic, battle, historic or fought', 'band, songs, concert, musician or lyrics', 'romance, emotion, relationships, feelings or captivating']
Pushpa: The Rise - Part 1	2021	Sukumar	Pushpa Raj is a coolie who rises in the world of red sandalwood smuggling. Along the way, he doesn’t shy from making an enemy or two.	['Allu Arjun', 'Fahadh Faasil', 'Rashmika Mandanna', 'Jagadeesh Prathap Bandari', 'Sunil Varma', 'Rao Ramesh', 'Dhananjay', 'Anasuya Bharadwaj', 'Ajay', 'Ajay Ghosh', 'Shri Tej', 'Shatru', 'Shanmukh', 'Pavari', 'Mime Gopi', 'Samantha Ruth Prabhu', 'Raj Tirandasu', 'Kalpalatha', 'Brahmaji', 'Malavika Wales', 'Rajsekhar Aningi', 'Dayanand Reddy', 'Meesam Suresh', 'Master Dhruvan']	['Mythri Movie Makers', 'Muttamsetty Media', 'Goldmines Telefilms']	['India']	[]	['Telugu']	['thriller', 'action', 'drama']	['Song and dance', 'Epic heroes', 'bollywood, songs, climax, emotion or goosebumps', 'martial arts, kung fu, choreography, cool or action-packed', 'action, explosives, exciting, action-packed or villain', 'violence, action, guns, cops or killing', 'western, cowboy, outlaw, wild or frontier']
Ante... Sundaraniki!	2022	Vivek Athreya	A man from a Brahmin family falls in love with a Christian girl. In order to convince their parents, they say contrasting lies which complicates the situation and leads to a comedy of errors.	['Nani', 'Nazriya Nazim Fahadh', 'Naresh', 'Rohini', 'N. Azhagamperumal', 'Nadhiya', 'Harshavardhan', 'Anupama Parameswaran', 'Aruna Bhikshu', 'Srikanth Iyengar', 'Venkatesh Maha', 'Tanvi Ram', 'Prudhviraj', 'Rahul Ramakrishna', 'Sai Ronak', 'Ali Basha', 'Pavitra Lokesh']	['Mythri Movie Makers']	['India']	[]	['Telugu']	['family', 'comedy', 'romance']	['Relationship comedy', 'Song and dance', 'chemistry, hilarious, romantic comedy, sweet or humorous', 'bollywood, songs, climax, emotion or goosebumps', 'musical, songs, singing, comedy or funny', 'romance, charming, comedy, witty or delightful', 'comedy, relationships, funny, quirky or humor']
Dasara	2023	Srikanth Odela	In 1990s, Set in small village Veerlapally, Dharani, Vennela, and Suri are childhood friends. Dharani loves Vennela, but she has Suri in her mind. Knowing Suri’s interest in Vennela, Dharani sacrifices his love and helps get them married. But Local politics between Rajanna, Shivanna and the latter's son Chinna Nambi threaten to disrupt their lives.	['Nani', 'Keerthy Suresh', 'Dheekshith Shetty', 'Sai Kumar', 'Shine Tom Chacko', 'Samuthirakani', 'Poorna', 'Rajsekhar Aningi', 'Jhansi']	['Sri Lakshmi Venkateswara Cinemas']	['India']	[]	['Telugu']	['thriller', 'action']	['Song and dance', 'Epic heroes', 'High speed and special ops', 'Westerns', 'bollywood, songs, climax, emotion or goosebumps', 'martial arts, kung fu, choreography, cool or action-packed', 'violence, action, guns, cops or killing', 'action, explosives, exciting, action-packed or villain', 'violence, shock, disturbing, brutal or graphic']
Jersey	2019	Gowtam Tinnanuri	After his career fails to take off, a gifted cricketer in his mid-thirties decides that he’s not ready to give up quite yet.	['Nani', 'Shraddha Srinath', 'Ronit Kamra', 'Harish Kalyan', 'Viswant Duddumpudi', 'Sathyaraj', 'Sanusha Santhosh', 'Sampath Raj', 'Shishir Sharma', 'Praveen', 'Jayaprakash', 'Rao Ramesh', 'Brahmaji', 'Bhupal Raju']	['Sithara Entertainments']	['India']	[]	['Telugu']	['drama']	['Song and dance', 'Underdogs and coming of age', 'Moving relationship stories', 'bollywood, songs, climax, emotion or goosebumps', 'sports, team, coach, athlete or football', 'family, emotional, emotion, touching or kids', 'boxing, fighting, champion, sports or fighter', 'touching, emotion, emotional, family or cry']
Ala Vaikunthapurramuloo	2020	Trivikram Srinivas	Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.	['Allu Arjun', 'Pooja Hegde', 'Murali Sharma', 'Jayaram', 'Sushanth', 'Nivetha Pethuraj', 'Samuthirakani', 'Tabu', 'Navdeep', 'Sunil Varma', 'Rajendra Prasad', 'Rahul Ramakrishna', 'Brahmaji', 'Harshavardhan', 'Sachin Khedekar', 'Vennela Kishore', 'Brahmanandam', 'Ajay', 'Tanikella Bharani', 'Rohini', 'Govind Padmasoorya', 'Chammak Chandra', 'Vaishnavi Chaitanya', 'Tarzan', 'Pammi Sai', 'Ananth Babu', 'Kalyani Natarajan', 'Sirisha Sougandh', 'Hyper Adhi', 'Easwari Rao']	['Geetha Arts', 'Haarika & Hassine Creations', 'Goldmines Telefilms']	['India']	['Telugu']	['Telugu', 'Hindi']	['drama', 'action', 'comedy']	['Song and dance', 'bollywood, songs, climax, emotion or goosebumps', 'musical, songs, singing, comedy or funny', 'singing, musical, songs, tune or lyrics', 'dancing, choreography, songs, tune or musical', 'martial arts, kung fu, choreography, cool or action-packed']
